Effective date ,S&P 500
2021-05-01,3726.86
2021-06-01,3748.14
2021-07-01,3803.79
2021-08-01,3824.68
2021-11-01,3799.61
2021-12-01,3801.19
2021-01-13,3809.84
2021-01-14,3795.54
2021-01-15,3768.25
2021-01-19,3798.91
2021-01-20,3851.85
2021-01-21,3853.07
2021-01-22,3841.47
2021-01-25,3855.36
2021-01-26,3849.62
2021-01-27,3750.77
2021-01-28,3787.38
2021-01-29,3714.24
2021-01-02,3773.86
2021-02-02,3826.31
2021-03-02,3830.17
2021-04-02,3871.74
2021-05-02,3886.83
2021-08-02,3915.59
2021-09-02,3911.23
2021-10-02,3909.88
2021-11-02,3916.38
2021-12-02,3934.83
2021-02-16,3932.59
2021-02-17,3931.33
2021-02-18,3913.97
2021-02-19,3906.71
2021-02-22,3876.5
2021-02-23,3881.37
2021-02-24,3925.43
2021-02-25,3829.34
2021-02-26,3811.15
2021-01-03,3901.82
2021-02-03,3870.29
2021-03-03,3819.72
2021-04-03,3768.47
2021-05-03,3841.94
2021-08-03,3821.35
2021-09-03,3875.44
2021-10-03,3898.81
2021-11-03,3939.34
2021-12-03,3943.34
2021-03-15,3968.94
2021-03-16,3962.71
2021-03-17,3974.12
2021-03-18,3915.46
2021-03-19,3913.1
2021-03-22,3940.59
2021-03-23,3910.52
2021-03-24,3889.14
2021-03-25,3909.52
2021-03-26,3974.54
2021-03-29,3971.09
2021-03-30,3958.55
2021-03-31,3972.89
2021-01-04,4019.87
2021-05-04,4077.91
2021-06-04,4073.94
2021-07-04,4079.95
2021-08-04,4097.17
2021-09-04,4128.8
2021-12-04,4127.99
2021-04-13,4141.59
2021-04-14,4124.66
2021-04-15,4170.42
2021-04-16,4185.47
2021-04-19,4163.26
2021-04-20,4134.94
2021-04-21,4173.42
2021-04-22,4134.98
2021-04-23,4180.17
2021-04-26,4187.62
2021-04-27,4186.72
2021-04-28,4183.18
2021-04-29,4211.47
2021-04-30,4181.17
2021-03-05,4192.66
2021-04-05,4164.66
2021-05-05,4167.59
2021-06-05,4201.62
2021-07-05,4232.6
2021-10-05,4188.43
2021-11-05,4152.1
2021-12-05,4063.04
2021-05-13,4112.5
2021-05-14,4173.85
2021-05-17,4163.29
2021-05-18,4127.83
2021-05-19,4115.68
2021-05-20,4159.12
2021-05-21,4155.86
2021-05-24,4197.05
2021-05-25,4188.13
2021-05-26,4195.99
2021-05-27,4200.88
2021-05-28,4204.11
2021-01-06,4202.04
2021-02-06,4208.12
2021-03-06,4192.85
2021-04-06,4229.89
2021-07-06,4226.52
2021-08-06,4227.26
2021-09-06,4219.55
2021-10-06,4239.18
2021-11-06,4247.44
2021-06-14,4255.15
2021-06-15,4246.59
2021-06-16,4223.7
2021-06-17,4221.86
2021-06-18,4166.45
2021-06-21,4224.79
2021-06-22,4246.44
2021-06-23,4241.84
2021-06-24,4266.49
2021-06-25,4280.7
2021-06-28,4290.61
2021-06-29,4291.8
2021-06-30,4297.5
2021-01-07,4319.94
2021-02-07,4352.34
2021-06-07,4343.54
2021-07-07,4358.13
2021-08-07,4320.82
2021-09-07,4369.55
2021-12-07,4384.63
2021-07-13,4369.21
2021-07-14,4374.3
2021-07-15,4360.03
2021-07-16,4327.16
2021-07-19,4258.49
2021-07-20,4323.06
2021-07-21,4358.69
2021-07-22,4367.48
2021-07-23,4411.79
2021-07-26,4422.3
2021-07-27,4401.46
2021-07-28,4400.64
2021-07-29,4419.15
2021-07-30,4395.26
2021-02-08,4387.16
2021-03-08,4423.15
2021-04-08,4402.66
2021-05-08,4429.1
2021-06-08,4436.52
2021-09-08,4432.35
2021-10-08,4436.75
2021-11-08,4447.7
2021-12-08,4460.83
2021-08-13,4468.0
2021-08-16,4479.71
2021-08-17,4448.08
2021-08-18,4400.27
2021-08-19,4405.8
2021-08-20,4441.67
2021-08-23,4479.53
2021-08-24,4486.23
2021-08-25,4496.19
2021-08-26,4470.0
2021-08-27,4509.37
2021-08-30,4528.79
2021-08-31,4522.68
2021-01-09,4524.09
2021-02-09,4536.95
2021-03-09,4535.43
2021-07-09,4520.03
2021-08-09,4514.07
2021-09-09,4493.28
2021-10-09,4458.58
2021-09-13,4468.73
2021-09-14,4443.05
2021-09-15,4480.7
2021-09-16,4473.75
2021-09-17,4432.99
2021-09-20,4357.73
2021-09-21,4354.19
2021-09-22,4395.64
2021-09-23,4448.98
2021-09-24,4455.48
2021-09-27,4443.11
2021-09-28,4352.63
2021-09-29,4359.46
2021-09-30,4307.54
2021-01-10,4357.04
2021-04-10,4300.46
2021-05-10,4345.72
2021-06-10,4363.55
2021-07-10,4399.76
2021-08-10,4391.34
2021-11-10,4361.19
2021-12-10,4350.65
2021-10-13,4363.8
2021-10-14,4438.26
2021-10-15,4471.37
2021-10-18,4486.46
2021-10-19,4519.63
2021-10-20,4536.19
2021-10-21,4549.78
2021-10-22,4544.9
2021-10-25,4566.48
2021-10-26,4574.79
2021-10-27,4551.68
2021-10-28,4596.42
2021-10-29,4605.38
2021-01-11,4613.67
2021-02-11,4630.65
2021-03-11,4660.57
2021-04-11,4680.06
2021-05-11,4697.53
2021-08-11,4701.7
2021-09-11,4685.25
2021-10-11,4646.71
2021-11-11,4649.27
2021-12-11,4682.85
2021-11-15,4682.8
2021-11-16,4700.9
2021-11-17,4688.67
2021-11-18,4704.54
2021-11-19,4697.96
2021-11-22,4682.94
2021-11-23,4690.7
2021-11-24,4701.46
2021-11-26,4594.62
2021-11-29,4655.27
2021-11-30,4567.0
2021-01-12,4513.04
2021-02-12,4577.1
2021-03-12,4538.43
2021-06-12,4591.67
2021-07-12,4686.75
2021-08-12,4701.21
2021-09-12,4667.45
2021-10-12,4712.02
2021-12-13,4668.97
2021-12-14,4634.09
2021-12-15,4709.85
2021-12-16,4668.67
2021-12-17,4620.64
2021-12-20,4568.02
2021-12-21,4649.23
2021-12-22,4696.56
2021-12-23,4725.79
2021-12-27,4791.19
2021-12-28,4786.35
2021-12-29,4793.06
2021-12-30,4778.73
2021-12-31,4766.18
2022-03-01,4796.56
2022-04-01,4793.54
2022-05-01,4700.58
